,Model,Brand,Colour,Style,Fabrication,Price,Picture,Age,size,Fabricaton,Origin,Fabriction,Fabrocation,Materia,Platform,Volume,Suitable,Includes,Wedge,Sport,Sneaker,Base,Footwear,Ingredients,Formal,Toe,Size,Qty,Care
386,Hedra fantasy wn's -  fashion rebels,PUMA Select,Puma white - Whisper white - Peacoat,,"Textile, Synthetic Upper/Rubber Sole",R1499,https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2071621/original.jpg,women,"UK 3, UK 4, UK 5, UK 6, UK 8, UK 7, ",,,,,,,,,,,,,,,,,,,,
387,Supercourt w - hazy rose/ftwr white/rich mauve,adidas Originals,Hazy rose/ftwr white/rich mauve,Code FX5757,Leather Upper with Rubber Sole,R1104,https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2095029/original.jpg,women,"UK 3.5, UK 4, UK 5, UK 6, UK 7, UK 8, ",,,,,,,,,,,,,,,,,,,,
388,2953 swallow tail - cheetah/zebra,SUPERGA,Cheetah/Zebra,Code S51121W-A0T,"Leather, Suede & Canvas Upper with Rubber Sole",R1899,https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2094126/original.jpg,women,"UK 3, UK 3.5, UK 5, UK 5.5, UK 4, UK 6, UK 6.5, UK 7, UK 8, ",,,,,,,,,,,,,,,,,,,,
389,2790 Multistripe platform - white & red,SUPERGA,White & Red,Code S31146W-A9M,Canvas Upper with Rubber Sole,R909,https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2094213/original.jpg,women,"UK 3, UK 3.5, UK 4, UK 5, UK 5.5, UK 6, UK 6.5, UK 7, UK 8, ",,,,,,,,,,,,,,,,,,,,
390,Air Max 2090 - champagne/black-sunset pulse-cyber,Nike,Champagne/Black-Sunset Pulse-Cyber,Code CV8727-600,Synthetic Upper with Rubber Sole,R1624,https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2092697/original.jpg,women,"UK 3, UK 4, UK 5, UK 6, UK 7, UK 7.5, UK 8, ",,,,,,,,,,,,,,,,,,,,
391,2750 cotu - blue fish,SUPERGA,Blue Fish,Code S000010-A8F,Canvas Upper with Rubber Sole,R749,https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2094093/original.jpg,women,"UK 3, UK 3.5, UK 4, UK 5, UK 5.5, UK 6, UK 6.5, UK 7, UK 8, ",,,,,,,,,,,,,,,,,,,,
392,2790 3D letters - black,SUPERGA,Black,Code S71183W-999,Canvas Upper with Rubber Sole,R979,https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2094160/original.jpg,women,"UK 6, UK 6.5, UK 2.5, UK 3.5, UK 4, UK 5, UK 5.5, UK 7, UK 8, ",,,,,,,,,,,,,,,,,,,,
393,2790 Multistripe platform - white & black,SUPERGA,White & Black,Code S31146W-A0Z,Canvas Upper with Rubber Sole,R979,https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2094236/original.jpg,women,"UK 3, UK 3.5, UK 4, UK 5, UK 5.5, UK 6, UK 6.5, UK 7, UK 8, ",,,,,,,,,,,,,,,,,,,,
394,L viper pu fash 20 - white & coral,SOVIET,White & Coral,,Faux Leather,R369,https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2092972/original.jpg,women,"UK 3, UK 4, UK 5, UK 6, UK 7, UK 8, ",,,,,,,,,,,,,,,,,,,,
395,L andrea - nude & black,SOVIET,Nude & Black,,Synthetic Upper,R314,https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2093067/original.jpg,women,"UK 4, UK 5, UK 7, UK 3, UK 6, UK 8, ",,,,,,,,,,,,,,,,,,,,
396,2843 club s - beige leopard,SUPERGA,Beige Leopard,Code S41172W-A31,Faux Hair Upper with Rubber Sole,R1899,https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2092674/original.jpg,women,"UK 3.5, UK 4, UK 5, UK 5.5, UK 6.5, UK 7, UK 8, ",,,,,,,,,,,,,,,,,,,,
397,Puma skye untamed - puma black,PUMA,Puma Black,,"Leather, Synthetic Upper/Rubber Sole",R899,https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2071075/original.jpg,women,"UK 3, UK 6, UK 7, UK 8, UK 4, UK 5, ",,,,,,,,,,,,,,,,,,,,
398,Eris fantasy -  fashion rebels,PUMA Select,puma white-whisper white,,Leather Upper/Rubber Sole,R1234,https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2108837/original.jpg,women,"UK 3, UK 4, UK 5, UK 6, UK 7, UK 8, ",,,,,,,,,,,,,,,,,,,,
399,Cadet pro - flint,G-Star RAW,Flint,,Lether Upper/Rubber Sole,R1399,https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2090228/original.jpg,women,"UK 3, UK 4, UK 5, UK 6, UK 8, UK 7, ",,,,,,,,,,,,,,,,,,,,
400,Puma skye untamed - white-white,PUMA,Puma White,,"Leather, Synthetic Upper/Rubber Sole",R899,https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2071083/original.jpg,women,"UK 3, UK 5, UK 6, UK 7, UK 4, UK 8, ",,,,,,,,,,,,,,,,,,,,
401,Eris fantasy - shifting sand-whisper white,PUMA Select,Shifting sand - Whisper white,,Leather Upper/Rubber Sole,R1234,https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2108844/original.jpg,women,"UK 3, UK 4, UK 5, UK 6, UK 7, UK 8, ",,,,,,,,,,,,,,,,,,,,
