,Model,Brand,Colour,Style,Fabrication,Price,Picture,Age,size,Product url
44,Club c 85 - white/elefla/neoblu,Reebok,white/elefla/neoblu,Code FV1086,Textile Upper with Rubber Sole,1099,https://assets.superbalistcdn.co.za/500x720/filters:quality(75):format(jpg)/2197753/original.jpg,women,"UK 5, UK 6, UK 7, UK 8, UK 3, UK 4, ",https://superbalist.com/women/shoes/sneakers/club-c-85-fv1086-white-elefla-neoblu/740796
45,Mayze lth wn's - puma white-peyote,PUMA,puma white-peyote,Code 38198302,Leather Upper with Suede Overlays & Rubber Sole,1899,https://assets.superbalistcdn.co.za/500x720/filters:quality(75):format(jpg)/2238564/original.jpg,women,"UK 5, UK 6, UK 7, UK 8, UK 3, UK 4, ",https://superbalist.com/women/shoes/sneakers/mayze-lth-wn-s-38198302-puma-white-peyote/715750
46,Suede Mayu UP women's sneakers - super lemon-marshmallow-gum 3,PUMA,super lemon-marshmallow-gum,Code 38165003,Suede Upper with Gum Sole,1899,https://assets.superbalistcdn.co.za/500x720/filters:quality(75):format(jpg)/2238576/original.jpg,women,"UK 3, UK 4, UK 5, UK 6, UK 7, UK 8, ",https://superbalist.com/women/shoes/sneakers/suede-mayu-up-wn-s-38165003-super-lemon-marshmallow-gum-3/715755
47,Mayze lth wn's - puma white-puma black,PUMA,puma white-puma black,Code 38198301,Leather Upper with Suede Overlays & Rubber Sole,1899,https://assets.superbalistcdn.co.za/500x720/filters:quality(75):format(jpg)/2236658/original.jpg,women,"UK 3, UK 4, UK 5, UK 6, UK 7, UK 8, ",https://superbalist.com/women/shoes/sneakers/mayze-lth-wn-s-38198301-puma-white-puma-black/715749
48,Jada - puma black-puma black-rose gold-lotus-puma white,PUMA,puma black-puma black-rose gold-lotus-puma white,Code 38075103,Leather Upper with Rubber Sole,1199,https://assets.superbalistcdn.co.za/500x720/filters:quality(75):format(jpg)/2236626/original.jpg,women,"UK 3, UK 4, UK 5, UK 6, UK 7, UK 8, ",https://superbalist.com/women/shoes/sneakers/jada-38075103-puma-black-puma-black-rose-gold-lotus-puma-white/715760
49,X-ray 2 square mid wtr - puma black-puma black-rose gold-whisper white,PUMA,puma black-puma black-rose gold-whisper white,Code 373020 07,Textile Upper with Faux Leather Overlays & Rubber Sole,1599,https://assets.superbalistcdn.co.za/500x720/filters:quality(75):format(jpg)/2236601/original.jpg,women,"UK 3, UK 5, UK 6, UK 7, UK 8, UK 4, ",https://superbalist.com/women/shoes/sneakers/x-ray-2-square-mid-wtr-37302007-puma-black-puma-black-rose-gold-whisper-white/715759
50,Ua era - (classic sport) blushing bride/parisian night,Vans,Blushing Bride & Parisian Night,Code VN0A54F14FW1,Canvas Upper with Rubber Sole,749,https://assets.superbalistcdn.co.za/500x720/filters:quality(75):format(jpg)/2233333/original.jpg,women,"UK 3, UK 4, UK 5, UK 6, UK 7, UK 8, ",https://superbalist.com/women/shoes/sneakers/ua-era-classic-sport-blushing-bride-parisian-night/687797
51,5740 - grey,New Balance,Grey (030),Code W5740SA,Suede & Mesh Upper with Rubber Sole,1799,https://assets.superbalistcdn.co.za/500x720/filters:quality(75):format(jpg)/2233480/original.jpg,women,"UK 5, UK 8, UK 3, UK 4, UK 6, UK 7, ",https://superbalist.com/women/shoes/sneakers/5740-grey-w5740sa/689830
52,Ua old skool - (classic sport) blushing bride/parisian night,Vans,Blushing Bride & Parisian Night,Code VN0A3WKT4FW1,Canvas Upper with Suede Overlays & Rubber sole,899,https://assets.superbalistcdn.co.za/500x720/filters:quality(75):format(jpg)/2233319/original.jpg,women,"UK 3, UK 4, UK 5, UK 6, UK 7, UK 8, ",https://superbalist.com/women/shoes/sneakers/ua-old-skool-classic-sport-blushing-bride-parisian-night/687798
53,Mirage mox vision - apricot blush-gray violet,PUMA Select,apricot blush-gray violet,Code 368609 02,Mesh Upper with Suede & Leather Overlays,1999,https://assets.superbalistcdn.co.za/500x720/filters:quality(75):format(jpg)/2231306/original.jpg,women,"UK 3, UK 4, UK 5, UK 6, UK 7, UK 8, ",https://superbalist.com/women/shoes/sneakers/mirage-mox-vision-368609-02-apricot-blush-gray-violet/689592
54,Japan s pf - white/black,Asics Tiger,White/Black,,Faux Leather Upper with Rubber Sole,1199,https://assets.superbalistcdn.co.za/500x720/filters:quality(75):format(jpg)/2052892/original.jpg,women,"UK 3, UK 4, UK 5, UK 6, UK 7, UK 8, ",https://superbalist.com/women/shoes/sneakers/japan-s-pf-white-black/572933
55,Ua old skool - orchid & true white,Vans,Orchid & True White,Code VN0A3WKT3SQ1,Canvas Upper with Rubber Sole,849,https://assets.superbalistcdn.co.za/500x720/filters:quality(75):format(jpg)/2241367/original.jpg,women,"UK 3, UK 4, UK 5, UK 6, UK 7, UK 8, ",https://superbalist.com/women/shoes/sneakers/ua-old-skool-orchid-true-white/687796
56,Ua old skool - (galaxy) black/true white,Vans,Black & True White,Code VN0A3WKTG4F1,Canvas Upper with Rubber Sole,999,https://assets.superbalistcdn.co.za/500x720/filters:quality(75):format(jpg)/2241361/original.jpg,women,"UK 3, UK 4, UK 5, UK 6, UK 7, UK 8, ",https://superbalist.com/women/shoes/sneakers/ua-old-skool-galaxy-black-true-white/687795
57,2790 cotw  - white,SUPERGA,White,Code S9111LW-901,Canvas Upper with Rubber Sole,1099,https://assets.superbalistcdn.co.za/500x720/filters:quality(75):format(jpg)/2224667/original.jpg,women,"UK 5.5, UK 6, UK 6.5, UK 7, UK 8, UK 2.5, UK 3.5, UK 4, UK 5, ",https://superbalist.com/women/shoes/sneakers/2790-cotw-s9111lw-901-white/690533
58,2790 cotlettering - black,SUPERGA,Black,Code S7117DW-999,Canvas Upper with Rubber Sole,1199,https://assets.superbalistcdn.co.za/500x720/filters:quality(75):format(jpg)/2224678/original.jpg,women,"UK 5, UK 6, UK 6.5, UK 7, UK 8, UK 2.5, UK 3.5, UK 4, UK 5.5, ",https://superbalist.com/women/shoes/sneakers/2790-cotlettering-s7117dw-999-black/690536
59,2790 cotw - full black,SUPERGA,Full Black,Code S9111LW-906,Canvas Upper with Rubber Sole,1099,https://assets.superbalistcdn.co.za/500x720/filters:quality(75):format(jpg)/2224661/original.jpg,women,"UK 2.5, UK 3.5, UK 5.5, UK 6, UK 6.5, UK 4, UK 5, UK 7, UK 8, ",https://superbalist.com/women/shoes/sneakers/2790-cotw-s9111lw-906-full-black/690534
60,New Balance - 5740 - white/multi,New Balance,White/Multi,,Suede Upper with Rubber Sole,1799,https://assets.superbalistcdn.co.za/500x720/filters:quality(75):format(jpg)/2223361/original.jpg,women,"UK 3, UK 4, UK 5, UK 6, UK 7, UK 8, ",https://superbalist.com/women/shoes/sneakers/new-balance-5740-w5740sb/689831
