,Model,Brand,Colour,Style,Fabrication,Price,Picture,Age,size,Fabricarion,FabricationMaterial,Fabriction,Volume,Fabircation,Suitable,Includes,Sneaker,Footwear,Base,Ingredients,Formal,Toe,Sport,Size,Qty,Care
653,Gel-infinity micro - black/sunrise red,ASICS,Black/Sunrise Red,Code 1201A030-001,Synthetic Upper with Rubber Sole,R1039,https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/1894438/original.jpg,men,"UK 6, UK 9, UK 7, UK 8, UK 10, UK 11, ",,,,,,,,,,,,,,,,,
654,Zig kinetica horizon - meteor grey/vector blue/high vis orange,Reebok,"Meteor Grey, Vector Blue & High Vis Orange",Code fw5301,Textile Upper with Rubber sole,R1169,https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/1905301/original.jpg,men,"UK 12, UK 6, UK 7, UK 8, UK 9, UK 10, UK 11, ",,,,,,,,,,,,,,,,,
655,Club c revenge - mystic grey/chalk/chartreuse,Reebok,"Mystic Grey, Chalk & Chartreuse",Code fv6389,Nubuck Upper with Rubber sole,R909,https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/1905131/original.jpg,men,"UK 11, UK 12, UK 5, UK 6, UK 7, UK 8, UK 9, UK 10, ",,,,,,,,,,,,,,,,,
656,Evzn - white/black/fierce gold,Reebok,"White, Black & Fierce Gold",Code fv7935,Nylon Upper with Rubber Sole,R839,https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/1905139/original.jpg,men,"UK 5, UK 8, UK 9, UK 10, UK 11, UK 12, UK 6, UK 7, ",,,,,,,,,,,,,,,,,
657,Superdry. low pro sneaker - white,Superdry.,White,,Textile Upper with Rubber sole,R559,https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/1902636/original.jpg,men,"UK 6, UK 7, UK 8, UK 9, UK 10, UK 11, UK 12, ",,,,,,,,,,,,,,,,,
658,Evzn - black/white/black,Reebok,Black & White,Code fw6467,Synthetic Upper with Rubber sole,R839,https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/1901433/original.jpg,men,"UK 11, UK 5, UK 6, UK 7, UK 8, UK 9, UK 10, UK 12, ",,,,,,,,,,,,,,,,,
659,SL 72 - white / off white / grey,adidas Originals,"White, Off White & Grey one",Code FV9782,Nylon Upper with Suede overlays & Rubber Sole,R1124,https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/1901842/original.jpg,men,"UK 5, UK 6, UK 7, UK 8, UK 9, UK 10, UK 11, UK 12, ",,,,,,,,,,,,,,,,,
660,Cadet ii - rover,G-Star RAW,Rover,Code D18001-C375-306,Cow Suede Upper with Rubber Sole,R1199,https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/1902269/original.jpg,men,"UK 12, UK 6, UK 7, UK 8, UK 9, UK 10, UK 11, ",,,,,,,,,,,,,,,,,
661,Ua era tc (vans check) - grape leaf,Vans,Grape Leaf,Code vn0a4btpxb41,Canvas Upper with Waffle Sole,R519,https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/1871690/original.jpg,men,"UK 3, UK 6, UK 7, UK 8, UK 9, ",,,,,,,,,,,,,,,,,
662,Superstar Premium Leather - core black / crystal white,adidas Originals,"Core Black, Crystal White & Blue",Code fv2832,Leather Upper with Rubber sole,R1499,https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/1870086/original.jpg,men,"UK 5, UK 6, UK 7, UK 9, UK 12, UK 8, UK 10, UK 11, ",,,,,,,,,,,,,,,,,
663,Authentic - black,Vans,Black,Code VTSVBXH,Canvas Upper with Waffle Sole,R421,https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/1867396/original.jpg,men,"UK 9, UK 10, UK 6, UK 7, UK 8, UK 11, UK 12, ",,,,,,,,,,,,,,,,,
664,827 Retro Running - white/multi,New Balance,White/Multi,Code ml827aao,Synthetic Upper,R1429,https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/1893393/original.jpg,men,"UK 11, UK 6, UK 7, UK 8, UK 9, UK 10, UK 11.5, ",,,,,,,,,,,,,,,,,
665,Lydon sneaker - grey,Superbalist,Grey,,Canvas Upper,R250,https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/1891935/original.jpg,men,"UK 6, UK 7, UK 8, UK 9, UK 10, UK 11, ",,,,,,,,,,,,,,,,,
666,Lydon sneaker - navy,Superbalist,Navy,,Canvas Upper,R250,https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/1891929/original.jpg,men,"UK 6, UK 7, UK 8, UK 9, UK 10, UK 11, ",,,,,,,,,,,,,,,,,
667,827 Retro Running - grey,New Balance,Grey,Code ml827aaq,Mesh Upper with Leather overlays & Rubber sole,R1429,https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/1892089/original.jpg,men,"UK 11.5, UK 6, UK 7, UK 8, UK 9, UK 10, UK 11, ",,,,,,,,,,,,,,,,,
