,Model,Brand,Colour,Style,Fabrication,Price,Picture,Age,size,Product url
36,Forum low - fy7757 - ftwr white/ftwr white/core black,adidas Originals,Ftwr white/ftwr white/core black,Code FY7757,Leather Upper with Rubber Sole,1699,https://assets.superbalistcdn.co.za/500x720/filters:quality(75):format(jpg)/2245804/original.jpg,men,"UK 6, UK 7, UK 8, UK 9, UK 10, UK 11, UK 12, UK 13, ",https://superbalist.com/men/shoes/sneakers/forum-low-fy7757-ftwr-white-ftwr-white-core-black/676001
37,Zx 1k boost - core black/ftwr white/black silver met.,adidas Originals,"Black, White & Silver met",,Textile Upper/Rubber Sole,1699,https://assets.superbalistcdn.co.za/500x720/filters:quality(75):format(jpg)/2065914/original.jpg,men,"UK 6, UK 7, UK 8, UK 9, UK 10, UK 11, UK 12, UK 13, ",https://superbalist.com/men/shoes/sneakers/zx-1k-boost-fx6515-core-black-ftwr-white-black-silver-met/676005
38,Instapump Fury OG nm - FW7699 - black/true grey 7/white,Reebok,"Black, True Grey & White",Code FW7699,Mesh Upper with Rubber Sole,1999,https://assets.superbalistcdn.co.za/500x720/filters:quality(75):format(jpg)/2242830/original.jpg,men,"UK 6, UK 8, UK 9, UK 10, UK 7, ",https://superbalist.com/men/shoes/sneakers/instapump-fury-og-nm-fw7699-black-true-grey-7-white/740784
39,Cl lthr - chalk/deecob/utiyel,Reebok,Chalk/deecob/utiyel,Code Fv6364,Leather Upper with Rubber Sole,1199,https://assets.superbalistcdn.co.za/500x720/filters:quality(75):format(jpg)/2243557/original.jpg,men,"UK 6, UK 7, UK 8, UK 9, UK 10, UK 11, ",https://superbalist.com/men/shoes/sneakers/cl-lthr-fv6364-chalk-deecob-utiyel/740781
40,Old Skool x Spongebob - off the wall,Vans,Off the Wall,Code VN0A38G19EK1,Canvas Upper with Suede Overlays & Waffle Sole,1499,https://assets.superbalistcdn.co.za/500x720/filters:quality(75):format(jpg)/2240396/original.jpg,men,"UK 4, UK 5, UK 6, UK 7, UK 8, UK 9, UK 10, UK 11, UK 12, UK 3, ",https://superbalist.com/men/shoes/sneakers/old-skool-x-spongebob-off-the-wall/687011
41,Tect - industrial grey,G-Star RAW,industrial grey,Code D19261-8701-1816,Canvas Upper with Rubber Sole,1999,https://assets.superbalistcdn.co.za/500x720/filters:quality(75):format(jpg)/2221149/original.jpg,men,"UK 6, UK 7, UK 8, UK 9, UK 10, UK 11, UK 12, ",https://superbalist.com/men/shoes/sneakers/tect-industrial-grey/670392
42,Calow iii - industrial grey,G-Star RAW,Industrial Grey,Code D20035-B698-1816,PU & Nylon Upper,2499,https://assets.superbalistcdn.co.za/500x720/filters:quality(75):format(jpg)/2221254/original.jpg,men,"UK 6, UK 7, UK 8, UK 9, UK 10, UK 11, UK 12, ",https://superbalist.com/men/shoes/sneakers/calow-iii-industrial-grey/670401
43,Tect pro q2 - shamrock,G-Star RAW,Shamrock,Code D20031-9242-2199,Nylon Upper with Rubber sole,2899,https://assets.superbalistcdn.co.za/500x720/filters:quality(75):format(jpg)/2221271/original.jpg,men,"UK 6, UK 7, UK 8, UK 9, UK 10, UK 11, UK 12, ",https://superbalist.com/men/shoes/sneakers/tect-pro-q2-shamrock/670397
44,Calow - shamrock,G-Star RAW,Shamrock,Code D20036-B703-2199,Cow Suede & PU Upper,2199,https://assets.superbalistcdn.co.za/500x720/filters:quality(75):format(jpg)/2221202/original.jpg,men,"UK 6, UK 7, UK 8, UK 9, UK 10, UK 11, UK 12, ",https://superbalist.com/men/shoes/sneakers/calow-shamrock/670399
45,Era x Spongebob - best friends,Vans,Best Friends,Code VN0A54F19ES1,"Canvas, Mesh & Suede Upper with Waffle Sole",1299,https://assets.superbalistcdn.co.za/500x720/filters:quality(75):format(jpg)/2240425/original.jpg,men,"UK 3, UK 4, UK 5, UK 6, UK 7, UK 8, UK 9, UK 10, UK 11, ",https://superbalist.com/men/shoes/sneakers/era-x-spongebob-best-friends/687010
