,Model,Brand,Colour,Style,Fabrication,Price,Picture,Age,size
41,Old Skool x Spongebob - off the wall,Vans,Off the Wall,Code VN0A38G19EK1,Canvas Upper with Suede Overlays & Waffle Sole,R1499,https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2240396/original.jpg,men,"UK 4, UK 5, UK 6, UK 7, UK 8, UK 9, UK 10, UK 12, UK 3, UK 11, "
42,Tect - industrial grey,G-Star RAW,industrial grey,Code D19261-8701-1816,Canvas Upper with Rubber Sole,R1999,https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2221149/original.jpg,men,"UK 6, UK 7, UK 8, UK 9, UK 10, UK 11, UK 12, "
43,Calow iii - industrial grey,G-Star RAW,Industrial Grey,Code D20035-B698-1816,PU & Nylon Upper,R2499,https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2221254/original.jpg,men,"UK 6, UK 7, UK 8, UK 9, UK 10, UK 11, UK 12, "
44,Tect pro q2 - shamrock,G-Star RAW,Shamrock,Code D20031-9242-2199,Nylon Upper with Rubber sole,R2899,https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2221271/original.jpg,men,"UK 6, UK 7, UK 8, UK 9, UK 10, UK 11, UK 12, "
45,Calow - shamrock,G-Star RAW,Shamrock,Code D20036-B703-2199,Cow Suede & PU Upper,R2199,https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2221202/original.jpg,men,"UK 6, UK 7, UK 8, UK 9, UK 10, UK 11, UK 12, "
46,Cl lthr - pugry3/vecnav/maroon,Reebok,pugry3/vecnav/maroon,Code FV1959,Leather Upper with Rubber Sole,R1499,https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2197898/original.jpg,men,"UK 5, UK 6, UK 7, UK 9, UK 10, UK 11, UK 12, UK 8, "
47,SK8-Hi x Spongebob - imaginaaation,Vans,Imaginaaation,Code VN0A32QGZAW1,Canvas Upper with Waffle Sole,R1699,https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2240324/original.jpg,men,"UK 4, UK 5, UK 6, UK 7, UK 8, UK 9, UK 10, UK 11, UK 3, "
48,Classic Slip-On x Spongebob - alohabob,Vans,Alohabob,Code VN0A33TBYZ11,Canvas Upper with Waffle Sole,R1199,https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2240356/original.jpg,men,"UK 4, UK 6, UK 8, UK 9, UK 10, UK 11, UK 3, UK 5, UK 7, "
49,Tect - shamrock,G-Star RAW,shamrock,Code D19261-8701-2199,Canvas Upper with Rubber Sole,R1999,https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2221160/original.jpg,men,"UK 6, UK 7, UK 8, UK 9, UK 10, UK 11, UK 12, "
50,Tect - matt asphalt,G-Star RAW,matt asphalt,Code D19261-8701-4677,Canvas Upper with Rubber Sole,R1999,https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2221173/original.jpg,men,"UK 6, UK 7, UK 8, UK 9, UK 10, UK 11, UK 12, "
51,Club c revenge mu - white/black/legacr,Reebok,white/black/legacr,Code EF3220,Leather Upper with Rubber Sole,R1199,https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2197624/original.jpg,men,"UK 6, UK 7, UK 8, UK 9, UK 10, UK 11, UK 12, "
52,Tect pro q2 - industrial grey,G-Star RAW,Industrial Grey,Code D20030-8941-1816,Nylon Upper with Rubber sole,R2899,https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2221286/original.jpg,men,"UK 6, UK 7, UK 8, UK 9, UK 10, UK 11, UK 12, "
53,Authentic x SpongeBob - airbrush,Vans,Airbrush,Code VN0A5HZSZAS1,Canvas Upper with Waffle Sole,R1099,https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2240285/original.jpg,men,"UK 3, UK 4, UK 5, UK 6, UK 7, UK 8, UK 9, UK 10, UK 11, "
54,Club c 85 - white/white/elefla,Reebok,White/White/Elefla,Code FV2139,Textile Upper with Rubber Sole,R1099,https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2198039/original.jpg,men,"UK 7, UK 8, UK 9, UK 10, UK 11, UK 12, UK 5, UK 6, "
55,Club c stacked - black/black/rbkg06,Reebok,black/black/rbkg06,Code FV6426,Leather Upper with Rubber Sole,R1499,https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2198150/original.jpg,men,"UK 6, UK 7, UK 8, UK 9, UK 10, UK 11, UK 12, "
56,Club c revenge - vecnav/utigrn/alabas,Reebok,Vecnav/Utigrn/Alabaster,Code FV2132,Leather Upper with Rubber Sole,R1099,https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2197995/original.jpg,men,"UK 6, UK 8, UK 9, UK 10, UK 11, UK 12, UK 5, UK 7, "
57,Club c revenge - white/horblu/vecred,Reebok,white/horblu/vecred,Code FV6386,Leather Upper with Rubber Sole,R1099,https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2198103/original.jpg,men,"UK 6, UK 7, UK 8, UK 9, UK 11, UK 12, UK 5, UK 10, "
58,Club c stacked - white/white/rbkg06,Reebok,white/white/rbkg06,Code FV2127,Leather Upper with Rubber Sole,R1499,https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2197968/original.jpg,men,"UK 6, UK 7, UK 8, UK 9, UK 10, UK 11, UK 12, UK 5, "
59,Club c 85 - white/white/sorang,Reebok,White/White/Sorang,Code FV6362,Textile Upper with Rubber Sole,R1099,https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2198074/original.jpg,men,"UK 5, UK 7, UK 8, UK 9, UK 11, UK 12, UK 6, UK 10, "
60,Mirage tech core - puma black-puma white,PUMA,puma black-puma white,Code 381119 02,Mesh & Textile Upper with Rubber Sole,R1899,https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2238597/original.jpg,men,"UK 6, UK 7, UK 8, UK 9, UK 10, UK 11, UK 12, "
